"school_id","school_name","address","city","state","zip_code","class_id","school_id-2","class_name","city-2","schedule_time","room_number","teacher_id","school_id-3","first_name","last_name","subject","hire_date","enrollment_id","school_id-4","boy_id","girl_id","enrollment_date","student_id","school_id-5","first_name-2","last_name-2","date_of_birth","grade_level","subject_id","school_id-6","subject_name","description","credits","teacher_name"
525,"School 525","Address 525","City 5","State 0","ZIP00525",524,525,"Class 524","City 4","08:44:00","Room 24",524,525,"TeacherFirstName524","TeacherLastName524","Subject 4","2010-06-09",524,525,25,25,"2022-06-09",524,525,"FirstName524","LastName524","2000-01-25",9,1524,525,"Unique Subject 1524","Unique description for subject 1524",5,"Teacher 1524"
526,"School 526","Address 526","City 6","State 1","ZIP00526",525,526,"Class 525","City 5","08:45:00","Room 25",525,526,"TeacherFirstName525","TeacherLastName525","Subject 5","2010-06-10",525,526,26,26,"2022-06-10",525,526,"FirstName525","LastName525","2000-01-26",10,1525,526,"Unique Subject 1525","Unique description for subject 1525",1,"Teacher 1525"
527,"School 527","Address 527","City 7","State 2","ZIP00527",526,527,"Class 526","City 6","08:46:00","Room 26",526,527,"TeacherFirstName526","TeacherLastName526","Subject 6","2010-06-11",526,527,27,27,"2022-06-11",526,527,"FirstName526","LastName526","2000-01-27",11,1526,527,"Unique Subject 1526","Unique description for subject 1526",2,"Teacher 1526"
528,"School 528","Address 528","City 8","State 3","ZIP00528",527,528,"Class 527","City 7","08:47:00","Room 27",527,528,"TeacherFirstName527","TeacherLastName527","Subject 7","2010-06-12",527,528,28,28,"2022-06-12",527,528,"FirstName527","LastName527","2000-01-28",12,1527,528,"Unique Subject 1527","Unique description for subject 1527",3,"Teacher 1527"
529,"School 529","Address 529","City 9","State 4","ZIP00529",528,529,"Class 528","City 8","08:48:00","Room 28",528,529,"TeacherFirstName528","TeacherLastName528","Subject 8","2010-06-13",528,529,29,29,"2022-06-13",528,529,"FirstName528","LastName528","2000-01-29",1,1528,529,"Unique Subject 1528","Unique description for subject 1528",4,"Teacher 1528"
530,"School 530","Address 530","City 0","State 0","ZIP00530",529,530,"Class 529","City 9","08:49:00","Room 29",529,530,"TeacherFirstName529","TeacherLastName529","Subject 9","2010-06-14",529,530,30,30,"2022-06-14",529,530,"FirstName529","LastName529","2000-01-30",2,1529,530,"Unique Subject 1529","Unique description for subject 1529",5,"Teacher 1529"
531,"School 531","Address 531","City 1","State 1","ZIP00531",530,531,"Class 530","City 0","08:50:00","Room 30",530,531,"TeacherFirstName530","TeacherLastName530","Subject 0","2010-06-15",530,531,31,31,"2022-06-15",530,531,"FirstName530","LastName530","2000-01-31",3,1530,531,"Unique Subject 1530","Unique description for subject 1530",1,"Teacher 1530"
532,"School 532","Address 532","City 2","State 2","ZIP00532",531,532,"Class 531","City 1","08:51:00","Room 31",531,532,"TeacherFirstName531","TeacherLastName531","Subject 1","2010-06-16",531,532,32,32,"2022-06-16",531,532,"FirstName531","LastName531","2000-02-01",4,1531,532,"Unique Subject 1531","Unique description for subject 1531",2,"Teacher 1531"
533,"School 533","Address 533","City 3","State 3","ZIP00533",532,533,"Class 532","City 2","08:52:00","Room 32",532,533,"TeacherFirstName532","TeacherLastName532","Subject 2","2010-06-17",532,533,33,33,"2022-06-17",532,533,"FirstName532","LastName532","2000-02-02",5,1532,533,"Unique Subject 1532","Unique description for subject 1532",3,"Teacher 1532"
534,"School 534","Address 534","City 4","State 4","ZIP00534",533,534,"Class 533","City 3","08:53:00","Room 33",533,534,"TeacherFirstName533","TeacherLastName533","Subject 3","2010-06-18",533,534,34,34,"2022-06-18",533,534,"FirstName533","LastName533","2000-02-03",6,1533,534,"Unique Subject 1533","Unique description for subject 1533",4,"Teacher 1533"
535,"School 535","Address 535","City 5","State 0","ZIP00535",534,535,"Class 534","City 4","08:54:00","Room 34",534,535,"TeacherFirstName534","TeacherLastName534","Subject 4","2010-06-19",534,535,35,35,"2022-06-19",534,535,"FirstName534","LastName534","2000-02-04",7,1534,535,"Unique Subject 1534","Unique description for subject 1534",5,"Teacher 1534"
536,"School 536","Address 536","City 6","State 1","ZIP00536",535,536,"Class 535","City 5","08:55:00","Room 35",535,536,"TeacherFirstName535","TeacherLastName535","Subject 5","2010-06-20",535,536,36,36,"2022-06-20",535,536,"FirstName535","LastName535","2000-02-05",8,1535,536,"Unique Subject 1535","Unique description for subject 1535",1,"Teacher 1535"
537,"School 537","Address 537","City 7","State 2","ZIP00537",536,537,"Class 536","City 6","08:56:00","Room 36",536,537,"TeacherFirstName536","TeacherLastName536","Subject 6","2010-06-21",536,537,37,37,"2022-06-21",536,537,"FirstName536","LastName536","2000-02-06",9,1536,537,"Unique Subject 1536","Unique description for subject 1536",2,"Teacher 1536"
538,"School 538","Address 538","City 8","State 3","ZIP00538",537,538,"Class 537","City 7","08:57:00","Room 37",537,538,"TeacherFirstName537","TeacherLastName537","Subject 7","2010-06-22",537,538,38,38,"2022-06-22",537,538,"FirstName537","LastName537","2000-02-07",10,1537,538,"Unique Subject 1537","Unique description for subject 1537",3,"Teacher 1537"
539,"School 539","Address 539","City 9","State 4","ZIP00539",538,539,"Class 538","City 8","08:58:00","Room 38",538,539,"TeacherFirstName538","TeacherLastName538","Subject 8","2010-06-23",538,539,39,39,"2022-06-23",538,539,"FirstName538","LastName538","2000-02-08",11,1538,539,"Unique Subject 1538","Unique description for subject 1538",4,"Teacher 1538"
540,"School 540","Address 540","City 0","State 0","ZIP00540",539,540,"Class 539","City 9","08:59:00","Room 39",539,540,"TeacherFirstName539","TeacherLastName539","Subject 9","2010-06-24",539,540,40,40,"2022-06-24",539,540,"FirstName539","LastName539","2000-02-09",12,1539,540,"Unique Subject 1539","Unique description for subject 1539",5,"Teacher 1539"
541,"School 541","Address 541","City 1","State 1","ZIP00541",540,541,"Class 540","City 0","09:00:00","Room 40",540,541,"TeacherFirstName540","TeacherLastName540","Subject 0","2010-06-25",540,541,41,41,"2022-06-25",540,541,"FirstName540","LastName540","2000-02-10",1,1540,541,"Unique Subject 1540","Unique description for subject 1540",1,"Teacher 1540"
542,"School 542","Address 542","City 2","State 2","ZIP00542",541,542,"Class 541","City 1","09:01:00","Room 41",541,542,"TeacherFirstName541","TeacherLastName541","Subject 1","2010-06-26",541,542,42,42,"2022-06-26",541,542,"FirstName541","LastName541","2000-02-11",2,1541,542,"Unique Subject 1541","Unique description for subject 1541",2,"Teacher 1541"
543,"School 543","Address 543","City 3","State 3","ZIP00543",542,543,"Class 542","City 2","09:02:00","Room 42",542,543,"TeacherFirstName542","TeacherLastName542","Subject 2","2010-06-27",542,543,43,43,"2022-06-27",542,543,"FirstName542","LastName542","2000-02-12",3,1542,543,"Unique Subject 1542","Unique description for subject 1542",3,"Teacher 1542"
544,"School 544","Address 544","City 4","State 4","ZIP00544",543,544,"Class 543","City 3","09:03:00","Room 43",543,544,"TeacherFirstName543","TeacherLastName543","Subject 3","2010-06-28",543,544,44,44,"2022-06-28",543,544,"FirstName543","LastName543","2000-02-13",4,1543,544,"Unique Subject 1543","Unique description for subject 1543",4,"Teacher 1543"
545,"School 545","Address 545","City 5","State 0","ZIP00545",544,545,"Class 544","City 4","09:04:00","Room 44",544,545,"TeacherFirstName544","TeacherLastName544","Subject 4","2010-06-29",544,545,45,45,"2022-06-29",544,545,"FirstName544","LastName544","2000-02-14",5,1544,545,"Unique Subject 1544","Unique description for subject 1544",5,"Teacher 1544"
546,"School 546","Address 546","City 6","State 1","ZIP00546",545,546,"Class 545","City 5","09:05:00","Room 45",545,546,"TeacherFirstName545","TeacherLastName545","Subject 5","2010-06-30",545,546,46,46,"2022-06-30",545,546,"FirstName545","LastName545","2000-02-15",6,1545,546,"Unique Subject 1545","Unique description for subject 1545",1,"Teacher 1545"
547,"School 547","Address 547","City 7","State 2","ZIP00547",546,547,"Class 546","City 6","09:06:00","Room 46",546,547,"TeacherFirstName546","TeacherLastName546","Subject 6","2010-07-01",546,547,47,47,"2022-07-01",546,547,"FirstName546","LastName546","2000-02-16",7,1546,547,"Unique Subject 1546","Unique description for subject 1546",2,"Teacher 1546"
548,"School 548","Address 548","City 8","State 3","ZIP00548",547,548,"Class 547","City 7","09:07:00","Room 47",547,548,"TeacherFirstName547","TeacherLastName547","Subject 7","2010-07-02",547,548,48,48,"2022-07-02",547,548,"FirstName547","LastName547","2000-02-17",8,1547,548,"Unique Subject 1547","Unique description for subject 1547",3,"Teacher 1547"
549,"School 549","Address 549","City 9","State 4","ZIP00549",548,549,"Class 548","City 8","09:08:00","Room 48",548,549,"TeacherFirstName548","TeacherLastName548","Subject 8","2010-07-03",548,549,49,49,"2022-07-03",548,549,"FirstName548","LastName548","2000-02-18",9,1548,549,"Unique Subject 1548","Unique description for subject 1548",4,"Teacher 1548"
550,"School 550","Address 550","City 0","State 0","ZIP00550",549,550,"Class 549","City 9","09:09:00","Room 49",549,550,"TeacherFirstName549","TeacherLastName549","Subject 9","2010-07-04",549,550,50,50,"2022-07-04",549,550,"FirstName549","LastName549","2000-02-19",10,1549,550,"Unique Subject 1549","Unique description for subject 1549",5,"Teacher 1549"
551,"School 551","Address 551","City 1","State 1","ZIP00551",550,551,"Class 550","City 0","09:10:00","Room 0",550,551,"TeacherFirstName550","TeacherLastName550","Subject 0","2010-07-05",550,551,51,51,"2022-07-05",550,551,"FirstName550","LastName550","2000-02-20",11,1550,551,"Unique Subject 1550","Unique description for subject 1550",1,"Teacher 1550"
552,"School 552","Address 552","City 2","State 2","ZIP00552",551,552,"Class 551","City 1","09:11:00","Room 1",551,552,"TeacherFirstName551","TeacherLastName551","Subject 1","2010-07-06",551,552,52,52,"2022-07-06",551,552,"FirstName551","LastName551","2000-02-21",12,1551,552,"Unique Subject 1551","Unique description for subject 1551",2,"Teacher 1551"
553,"School 553","Address 553","City 3","State 3","ZIP00553",552,553,"Class 552","City 2","09:12:00","Room 2",552,553,"TeacherFirstName552","TeacherLastName552","Subject 2","2010-07-07",552,553,53,53,"2022-07-07",552,553,"FirstName552","LastName552","2000-02-22",1,1552,553,"Unique Subject 1552","Unique description for subject 1552",3,"Teacher 1552"
554,"School 554","Address 554","City 4","State 4","ZIP00554",553,554,"Class 553","City 3","09:13:00","Room 3",553,554,"TeacherFirstName553","TeacherLastName553","Subject 3","2010-07-08",553,554,54,54,"2022-07-08",553,554,"FirstName553","LastName553","2000-02-23",2,1553,554,"Unique Subject 1553","Unique description for subject 1553",4,"Teacher 1553"
555,"School 555","Address 555","City 5","State 0","ZIP00555",554,555,"Class 554","City 4","09:14:00","Room 4",554,555,"TeacherFirstName554","TeacherLastName554","Subject 4","2010-07-09",554,555,55,55,"2022-07-09",554,555,"FirstName554","LastName554","2000-02-24",3,1554,555,"Unique Subject 1554","Unique description for subject 1554",5,"Teacher 1554"
556,"School 556","Address 556","City 6","State 1","ZIP00556",555,556,"Class 555","City 5","09:15:00","Room 5",555,556,"TeacherFirstName555","TeacherLastName555","Subject 5","2010-07-10",555,556,56,56,"2022-07-10",555,556,"FirstName555","LastName555","2000-02-25",4,1555,556,"Unique Subject 1555","Unique description for subject 1555",1,"Teacher 1555"
557,"School 557","Address 557","City 7","State 2","ZIP00557",556,557,"Class 556","City 6","09:16:00","Room 6",556,557,"TeacherFirstName556","TeacherLastName556","Subject 6","2010-07-11",556,557,57,57,"2022-07-11",556,557,"FirstName556","LastName556","2000-02-26",5,1556,557,"Unique Subject 1556","Unique description for subject 1556",2,"Teacher 1556"
558,"School 558","Address 558","City 8","State 3","ZIP00558",557,558,"Class 557","City 7","09:17:00","Room 7",557,558,"TeacherFirstName557","TeacherLastName557","Subject 7","2010-07-12",557,558,58,58,"2022-07-12",557,558,"FirstName557","LastName557","2000-02-27",6,1557,558,"Unique Subject 1557","Unique description for subject 1557",3,"Teacher 1557"
559,"School 559","Address 559","City 9","State 4","ZIP00559",558,559,"Class 558","City 8","09:18:00","Room 8",558,559,"TeacherFirstName558","TeacherLastName558","Subject 8","2010-07-13",558,559,59,59,"2022-07-13",558,559,"FirstName558","LastName558","2000-02-28",7,1558,559,"Unique Subject 1558","Unique description for subject 1558",4,"Teacher 1558"
560,"School 560","Address 560","City 0","State 0","ZIP00560",559,560,"Class 559","City 9","09:19:00","Room 9",559,560,"TeacherFirstName559","TeacherLastName559","Subject 9","2010-07-14",559,560,60,60,"2022-07-14",559,560,"FirstName559","LastName559","2000-02-29",8,1559,560,"Unique Subject 1559","Unique description for subject 1559",5,"Teacher 1559"
561,"School 561","Address 561","City 1","State 1","ZIP00561",560,561,"Class 560","City 0","09:20:00","Room 10",560,561,"TeacherFirstName560","TeacherLastName560","Subject 0","2010-07-15",560,561,61,61,"2022-07-15",560,561,"FirstName560","LastName560","2000-03-01",9,1560,561,"Unique Subject 1560","Unique description for subject 1560",1,"Teacher 1560"
562,"School 562","Address 562","City 2","State 2","ZIP00562",561,562,"Class 561","City 1","09:21:00","Room 11",561,562,"TeacherFirstName561","TeacherLastName561","Subject 1","2010-07-16",561,562,62,62,"2022-07-16",561,562,"FirstName561","LastName561","2000-03-02",10,1561,562,"Unique Subject 1561","Unique description for subject 1561",2,"Teacher 1561"
563,"School 563","Address 563","City 3","State 3","ZIP00563",562,563,"Class 562","City 2","09:22:00","Room 12",562,563,"TeacherFirstName562","TeacherLastName562","Subject 2","2010-07-17",562,563,63,63,"2022-07-17",562,563,"FirstName562","LastName562","2000-03-03",11,1562,563,"Unique Subject 1562","Unique description for subject 1562",3,"Teacher 1562"
564,"School 564","Address 564","City 4","State 4","ZIP00564",563,564,"Class 563","City 3","09:23:00","Room 13",563,564,"TeacherFirstName563","TeacherLastName563","Subject 3","2010-07-18",563,564,64,64,"2022-07-18",563,564,"FirstName563","LastName563","2000-03-04",12,1563,564,"Unique Subject 1563","Unique description for subject 1563",4,"Teacher 1563"
565,"School 565","Address 565","City 5","State 0","ZIP00565",564,565,"Class 564","City 4","09:24:00","Room 14",564,565,"TeacherFirstName564","TeacherLastName564","Subject 4","2010-07-19",564,565,65,65,"2022-07-19",564,565,"FirstName564","LastName564","2000-03-05",1,1564,565,"Unique Subject 1564","Unique description for subject 1564",5,"Teacher 1564"
566,"School 566","Address 566","City 6","State 1","ZIP00566",565,566,"Class 565","City 5","09:25:00","Room 15",565,566,"TeacherFirstName565","TeacherLastName565","Subject 5","2010-07-20",565,566,66,66,"2022-07-20",565,566,"FirstName565","LastName565","2000-03-06",2,1565,566,"Unique Subject 1565","Unique description for subject 1565",1,"Teacher 1565"
567,"School 567","Address 567","City 7","State 2","ZIP00567",566,567,"Class 566","City 6","09:26:00","Room 16",566,567,"TeacherFirstName566","TeacherLastName566","Subject 6","2010-07-21",566,567,67,67,"2022-07-21",566,567,"FirstName566","LastName566","2000-03-07",3,1566,567,"Unique Subject 1566","Unique description for subject 1566",2,"Teacher 1566"
568,"School 568","Address 568","City 8","State 3","ZIP00568",567,568,"Class 567","City 7","09:27:00","Room 17",567,568,"TeacherFirstName567","TeacherLastName567","Subject 7","2010-07-22",567,568,68,68,"2022-07-22",567,568,"FirstName567","LastName567","2000-03-08",4,1567,568,"Unique Subject 1567","Unique description for subject 1567",3,"Teacher 1567"
569,"School 569","Address 569","City 9","State 4","ZIP00569",568,569,"Class 568","City 8","09:28:00","Room 18",568,569,"TeacherFirstName568","TeacherLastName568","Subject 8","2010-07-23",568,569,69,69,"2022-07-23",568,569,"FirstName568","LastName568","2000-03-09",5,1568,569,"Unique Subject 1568","Unique description for subject 1568",4,"Teacher 1568"
570,"School 570","Address 570","City 0","State 0","ZIP00570",569,570,"Class 569","City 9","09:29:00","Room 19",569,570,"TeacherFirstName569","TeacherLastName569","Subject 9","2010-07-24",569,570,70,70,"2022-07-24",569,570,"FirstName569","LastName569","2000-03-10",6,1569,570,"Unique Subject 1569","Unique description for subject 1569",5,"Teacher 1569"
571,"School 571","Address 571","City 1","State 1","ZIP00571",570,571,"Class 570","City 0","09:30:00","Room 20",570,571,"TeacherFirstName570","TeacherLastName570","Subject 0","2010-07-25",570,571,71,71,"2022-07-25",570,571,"FirstName570","LastName570","2000-03-11",7,1570,571,"Unique Subject 1570","Unique description for subject 1570",1,"Teacher 1570"
572,"School 572","Address 572","City 2","State 2","ZIP00572",571,572,"Class 571","City 1","09:31:00","Room 21",571,572,"TeacherFirstName571","TeacherLastName571","Subject 1","2010-07-26",571,572,72,72,"2022-07-26",571,572,"FirstName571","LastName571","2000-03-12",8,1571,572,"Unique Subject 1571","Unique description for subject 1571",2,"Teacher 1571"
573,"School 573","Address 573","City 3","State 3","ZIP00573",572,573,"Class 572","City 2","09:32:00","Room 22",572,573,"TeacherFirstName572","TeacherLastName572","Subject 2","2010-07-27",572,573,73,73,"2022-07-27",572,573,"FirstName572","LastName572","2000-03-13",9,1572,573,"Unique Subject 1572","Unique description for subject 1572",3,"Teacher 1572"
574,"School 574","Address 574","City 4","State 4","ZIP00574",573,574,"Class 573","City 3","09:33:00","Room 23",573,574,"TeacherFirstName573","TeacherLastName573","Subject 3","2010-07-28",573,574,74,74,"2022-07-28",573,574,"FirstName573","LastName573","2000-03-14",10,1573,574,"Unique Subject 1573","Unique description for subject 1573",4,"Teacher 1573"
575,"School 575","Address 575","City 5","State 0","ZIP00575",574,575,"Class 574","City 4","09:34:00","Room 24",574,575,"TeacherFirstName574","TeacherLastName574","Subject 4","2010-07-29",574,575,75,75,"2022-07-29",574,575,"FirstName574","LastName574","2000-03-15",11,1574,575,"Unique Subject 1574","Unique description for subject 1574",5,"Teacher 1574"
576,"School 576","Address 576","City 6","State 1","ZIP00576",575,576,"Class 575","City 5","09:35:00","Room 25",575,576,"TeacherFirstName575","TeacherLastName575","Subject 5","2010-07-30",575,576,76,76,"2022-07-30",575,576,"FirstName575","LastName575","2000-03-16",12,1575,576,"Unique Subject 1575","Unique description for subject 1575",1,"Teacher 1575"
577,"School 577","Address 577","City 7","State 2","ZIP00577",576,577,"Class 576","City 6","09:36:00","Room 26",576,577,"TeacherFirstName576","TeacherLastName576","Subject 6","2010-07-31",576,577,77,77,"2022-07-31",576,577,"FirstName576","LastName576","2000-03-17",1,1576,577,"Unique Subject 1576","Unique description for subject 1576",2,"Teacher 1576"
578,"School 578","Address 578","City 8","State 3","ZIP00578",577,578,"Class 577","City 7","09:37:00","Room 27",577,578,"TeacherFirstName577","TeacherLastName577","Subject 7","2010-08-01",577,578,78,78,"2022-08-01",577,578,"FirstName577","LastName577","2000-03-18",2,1577,578,"Unique Subject 1577","Unique description for subject 1577",3,"Teacher 1577"
579,"School 579","Address 579","City 9","State 4","ZIP00579",578,579,"Class 578","City 8","09:38:00","Room 28",578,579,"TeacherFirstName578","TeacherLastName578","Subject 8","2010-08-02",578,579,79,79,"2022-08-02",578,579,"FirstName578","LastName578","2000-03-19",3,1578,579,"Unique Subject 1578","Unique description for subject 1578",4,"Teacher 1578"
580,"School 580","Address 580","City 0","State 0","ZIP00580",579,580,"Class 579","City 9","09:39:00","Room 29",579,580,"TeacherFirstName579","TeacherLastName579","Subject 9","2010-08-03",579,580,80,80,"2022-08-03",579,580,"FirstName579","LastName579","2000-03-20",4,1579,580,"Unique Subject 1579","Unique description for subject 1579",5,"Teacher 1579"
581,"School 581","Address 581","City 1","State 1","ZIP00581",580,581,"Class 580","City 0","09:40:00","Room 30",580,581,"TeacherFirstName580","TeacherLastName580","Subject 0","2010-08-04",580,581,81,81,"2022-08-04",580,581,"FirstName580","LastName580","2000-03-21",5,1580,581,"Unique Subject 1580","Unique description for subject 1580",1,"Teacher 1580"
582,"School 582","Address 582","City 2","State 2","ZIP00582",581,582,"Class 581","City 1","09:41:00","Room 31",581,582,"TeacherFirstName581","TeacherLastName581","Subject 1","2010-08-05",581,582,82,82,"2022-08-05",581,582,"FirstName581","LastName581","2000-03-22",6,1581,582,"Unique Subject 1581","Unique description for subject 1581",2,"Teacher 1581"
583,"School 583","Address 583","City 3","State 3","ZIP00583",582,583,"Class 582","City 2","09:42:00","Room 32",582,583,"TeacherFirstName582","TeacherLastName582","Subject 2","2010-08-06",582,583,83,83,"2022-08-06",582,583,"FirstName582","LastName582","2000-03-23",7,1582,583,"Unique Subject 1582","Unique description for subject 1582",3,"Teacher 1582"
584,"School 584","Address 584","City 4","State 4","ZIP00584",583,584,"Class 583","City 3","09:43:00","Room 33",583,584,"TeacherFirstName583","TeacherLastName583","Subject 3","2010-08-07",583,584,84,84,"2022-08-07",583,584,"FirstName583","LastName583","2000-03-24",8,1583,584,"Unique Subject 1583","Unique description for subject 1583",4,"Teacher 1583"
585,"School 585","Address 585","City 5","State 0","ZIP00585",584,585,"Class 584","City 4","09:44:00","Room 34",584,585,"TeacherFirstName584","TeacherLastName584","Subject 4","2010-08-08",584,585,85,85,"2022-08-08",584,585,"FirstName584","LastName584","2000-03-25",9,1584,585,"Unique Subject 1584","Unique description for subject 1584",5,"Teacher 1584"
586,"School 586","Address 586","City 6","State 1","ZIP00586",585,586,"Class 585","City 5","09:45:00","Room 35",585,586,"TeacherFirstName585","TeacherLastName585","Subject 5","2010-08-09",585,586,86,86,"2022-08-09",585,586,"FirstName585","LastName585","2000-03-26",10,1585,586,"Unique Subject 1585","Unique description for subject 1585",1,"Teacher 1585"
587,"School 587","Address 587","City 7","State 2","ZIP00587",586,587,"Class 586","City 6","09:46:00","Room 36",586,587,"TeacherFirstName586","TeacherLastName586","Subject 6","2010-08-10",586,587,87,87,"2022-08-10",586,587,"FirstName586","LastName586","2000-03-27",11,1586,587,"Unique Subject 1586","Unique description for subject 1586",2,"Teacher 1586"
588,"School 588","Address 588","City 8","State 3","ZIP00588",587,588,"Class 587","City 7","09:47:00","Room 37",587,588,"TeacherFirstName587","TeacherLastName587","Subject 7","2010-08-11",587,588,88,88,"2022-08-11",587,588,"FirstName587","LastName587","2000-03-28",12,1587,588,"Unique Subject 1587","Unique description for subject 1587",3,"Teacher 1587"
589,"School 589","Address 589","City 9","State 4","ZIP00589",588,589,"Class 588","City 8","09:48:00","Room 38",588,589,"TeacherFirstName588","TeacherLastName588","Subject 8","2010-08-12",588,589,89,89,"2022-08-12",588,589,"FirstName588","LastName588","2000-03-29",1,1588,589,"Unique Subject 1588","Unique description for subject 1588",4,"Teacher 1588"
590,"School 590","Address 590","City 0","State 0","ZIP00590",589,590,"Class 589","City 9","09:49:00","Room 39",589,590,"TeacherFirstName589","TeacherLastName589","Subject 9","2010-08-13",589,590,90,90,"2022-08-13",589,590,"FirstName589","LastName589","2000-03-30",2,1589,590,"Unique Subject 1589","Unique description for subject 1589",5,"Teacher 1589"
591,"School 591","Address 591","City 1","State 1","ZIP00591",590,591,"Class 590","City 0","09:50:00","Room 40",590,591,"TeacherFirstName590","TeacherLastName590","Subject 0","2010-08-14",590,591,91,91,"2022-08-14",590,591,"FirstName590","LastName590","2000-03-31",3,1590,591,"Unique Subject 1590","Unique description for subject 1590",1,"Teacher 1590"
592,"School 592","Address 592","City 2","State 2","ZIP00592",591,592,"Class 591","City 1","09:51:00","Room 41",591,592,"TeacherFirstName591","TeacherLastName591","Subject 1","2010-08-15",591,592,92,92,"2022-08-15",591,592,"FirstName591","LastName591","2000-04-01",4,1591,592,"Unique Subject 1591","Unique description for subject 1591",2,"Teacher 1591"
593,"School 593","Address 593","City 3","State 3","ZIP00593",592,593,"Class 592","City 2","09:52:00","Room 42",592,593,"TeacherFirstName592","TeacherLastName592","Subject 2","2010-08-16",592,593,93,93,"2022-08-16",592,593,"FirstName592","LastName592","2000-04-02",5,1592,593,"Unique Subject 1592","Unique description for subject 1592",3,"Teacher 1592"
594,"School 594","Address 594","City 4","State 4","ZIP00594",593,594,"Class 593","City 3","09:53:00","Room 43",593,594,"TeacherFirstName593","TeacherLastName593","Subject 3","2010-08-17",593,594,94,94,"2022-08-17",593,594,"FirstName593","LastName593","2000-04-03",6,1593,594,"Unique Subject 1593","Unique description for subject 1593",4,"Teacher 1593"
595,"School 595","Address 595","City 5","State 0","ZIP00595",594,595,"Class 594","City 4","09:54:00","Room 44",594,595,"TeacherFirstName594","TeacherLastName594","Subject 4","2010-08-18",594,595,95,95,"2022-08-18",594,595,"FirstName594","LastName594","2000-04-04",7,1594,595,"Unique Subject 1594","Unique description for subject 1594",5,"Teacher 1594"
596,"School 596","Address 596","City 6","State 1","ZIP00596",595,596,"Class 595","City 5","09:55:00","Room 45",595,596,"TeacherFirstName595","TeacherLastName595","Subject 5","2010-08-19",595,596,96,96,"2022-08-19",595,596,"FirstName595","LastName595","2000-04-05",8,1595,596,"Unique Subject 1595","Unique description for subject 1595",1,"Teacher 1595"
597,"School 597","Address 597","City 7","State 2","ZIP00597",596,597,"Class 596","City 6","09:56:00","Room 46",596,597,"TeacherFirstName596","TeacherLastName596","Subject 6","2010-08-20",596,597,97,97,"2022-08-20",596,597,"FirstName596","LastName596","2000-04-06",9,1596,597,"Unique Subject 1596","Unique description for subject 1596",2,"Teacher 1596"
598,"School 598","Address 598","City 8","State 3","ZIP00598",597,598,"Class 597","City 7","09:57:00","Room 47",597,598,"TeacherFirstName597","TeacherLastName597","Subject 7","2010-08-21",597,598,98,98,"2022-08-21",597,598,"FirstName597","LastName597","2000-04-07",10,1597,598,"Unique Subject 1597","Unique description for subject 1597",3,"Teacher 1597"
599,"School 599","Address 599","City 9","State 4","ZIP00599",598,599,"Class 598","City 8","09:58:00","Room 48",598,599,"TeacherFirstName598","TeacherLastName598","Subject 8","2010-08-22",598,599,99,99,"2022-08-22",598,599,"FirstName598","LastName598","2000-04-08",11,1598,599,"Unique Subject 1598","Unique description for subject 1598",4,"Teacher 1598"
600,"School 600","Address 600","City 0","State 0","ZIP00600",599,600,"Class 599","City 9","09:59:00","Room 49",599,600,"TeacherFirstName599","TeacherLastName599","Subject 9","2010-08-23",599,600,100,100,"2022-08-23",599,600,"FirstName599","LastName599","2000-04-09",12,1599,600,"Unique Subject 1599","Unique description for subject 1599",5,"Teacher 1599"
601,"School 601","Address 601","City 1","State 1","ZIP00601",600,601,"Class 600","City 0","10:00:00","Room 0",600,601,"TeacherFirstName600","TeacherLastName600","Subject 0","2010-08-24",600,601,101,101,"2022-08-24",600,601,"FirstName600","LastName600","2000-04-10",1,1600,601,"Unique Subject 1600","Unique description for subject 1600",1,"Teacher 1600"
602,"School 602","Address 602","City 2","State 2","ZIP00602",601,602,"Class 601","City 1","10:01:00","Room 1",601,602,"TeacherFirstName601","TeacherLastName601","Subject 1","2010-08-25",601,602,102,102,"2022-08-25",601,602,"FirstName601","LastName601","2000-04-11",2,1601,602,"Unique Subject 1601","Unique description for subject 1601",2,"Teacher 1601"
603,"School 603","Address 603","City 3","State 3","ZIP00603",602,603,"Class 602","City 2","10:02:00","Room 2",602,603,"TeacherFirstName602","TeacherLastName602","Subject 2","2010-08-26",602,603,103,103,"2022-08-26",602,603,"FirstName602","LastName602","2000-04-12",3,1602,603,"Unique Subject 1602","Unique description for subject 1602",3,"Teacher 1602"
604,"School 604","Address 604","City 4","State 4","ZIP00604",603,604,"Class 603","City 3","10:03:00","Room 3",603,604,"TeacherFirstName603","TeacherLastName603","Subject 3","2010-08-27",603,604,104,104,"2022-08-27",603,604,"FirstName603","LastName603","2000-04-13",4,1603,604,"Unique Subject 1603","Unique description for subject 1603",4,"Teacher 1603"
605,"School 605","Address 605","City 5","State 0","ZIP00605",604,605,"Class 604","City 4","10:04:00","Room 4",604,605,"TeacherFirstName604","TeacherLastName604","Subject 4","2010-08-28",604,605,105,105,"2022-08-28",604,605,"FirstName604","LastName604","2000-04-14",5,1604,605,"Unique Subject 1604","Unique description for subject 1604",5,"Teacher 1604"
